Iteration,Best Distance
1,39812.166859918754
2,39812.166859918754
3,39812.166859918754
4,38245.01523496963
5,38245.01523496963
6,38245.01523496963
7,38245.01523496963
8,38245.01523496963
9,38245.01523496963
10,38245.01523496963
11,38245.01523496963
12,38245.01523496963
13,38245.01523496963
14,38245.01523496963
15,38245.01523496963
16,38245.01523496963
17,38245.01523496963
18,38245.01523496963
19,38245.01523496963
20,38245.01523496963
21,38245.01523496963
22,37973.56755276954
23,37973.56755276954
24,37973.56755276954
25,37973.56755276954
26,37973.56755276954
27,37973.56755276954
28,37973.56755276954
29,37973.56755276954
30,37973.56755276954
31,37973.56755276954
32,37973.56755276954
33,37973.56755276954
34,37973.56755276954
35,37973.56755276954
36,37973.56755276954
37,37973.56755276954
38,37973.56755276954
39,37973.56755276954
40,37973.56755276954
41,37973.56755276954
42,37973.56755276954
43,37973.56755276954
44,37973.56755276954
45,37973.56755276954
46,37973.56755276954
47,37973.56755276954
48,37973.56755276954
49,37973.56755276954
50,37973.56755276954
51,37973.56755276954
52,37973.56755276954
53,37973.56755276954
54,37973.56755276954
55,37973.56755276954
56,37973.56755276954
57,37973.56755276954
58,37973.56755276954
59,37973.56755276954
60,37973.56755276954
61,37973.56755276954
62,37973.56755276954
63,37973.56755276954
64,37973.56755276954
65,37973.56755276954
66,37973.56755276954
67,37973.56755276954
68,37973.56755276954
69,37973.56755276954
70,37973.56755276954
71,37973.56755276954
72,37973.56755276954
73,37973.56755276954
74,37973.56755276954
75,37973.56755276954
76,37973.56755276954
77,37973.56755276954
78,37973.56755276954
79,37973.56755276954
80,37973.56755276954
81,37973.56755276954
82,37973.56755276954
83,37973.56755276954
84,37973.56755276954
85,37973.56755276954
86,37973.56755276954
87,37973.56755276954
88,37935.466290457814
89,37935.466290457814
90,37935.466290457814
91,37935.466290457814
92,37935.466290457814
93,37935.466290457814
94,37935.466290457814
95,37935.466290457814
96,37935.466290457814
97,37935.466290457814
98,37935.466290457814
99,37935.466290457814
100,37935.466290457814
101,37935.466290457814
102,37935.466290457814
103,37935.466290457814
104,37935.466290457814
105,37935.466290457814
106,37935.466290457814
107,37935.466290457814
108,37935.466290457814
109,37935.466290457814
110,37935.466290457814
111,37935.466290457814
112,37935.466290457814
113,37935.466290457814
114,37935.466290457814
115,37935.466290457814
116,37935.466290457814
117,37935.466290457814
118,37935.466290457814
119,37935.466290457814
120,37935.466290457814
121,37935.466290457814
122,37046.88377356529
123,37046.88377356529
124,37046.88377356529
125,37046.88377356529
126,37046.88377356529
127,37046.88377356529
128,37046.88377356529
129,37046.88377356529
130,37046.88377356529
131,37046.88377356529
132,37046.88377356529
133,37046.88377356529
134,37046.88377356529
